drug,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
BENZOYL PEROXIDE\CLINDAMYCIN PHOSPHATE,0.011686048,-0.02008981,-0.009815898,-0.003230491,-0.007252037,-0.008379734,0.006631703,-0.020257797,-0.006589664,-0.015624964,0.033166602,-0.020814901,-0.011941581,0.0527362,-0.001211946,-0.010852575,-0.023689,-0.0070112823,-0.0029903622,0.012514874,-0.02966544,-0.012227345,-0.011841913,-0.0067290445,-0.0018500005,0.0149680665,0.03213966,0.026860185,0.0058165505,0.00479503,0.01571594,-0.0079872385,0.010774749,0.015360849,-0.013992801,-0.014735952,0.01401681,0.02225326,-0.008647951,0.0029363683,-0.027167054,-0.013502806,-0.026085535,0.00768725,0.0038175597,0.035174403,-0.02111225,-0.035205,-0.0019654834,0.010026574,-0.026312228,0.0022560202,-0.00812883,-0.035463814,-0.0019875802,-0.016956793,0.0017734829,0.023942182,-0.003576768,0.0020037577,0.009947832,0.0063335984,-0.0020762146,-0.056299224
BENZTROPINE,0.019616334,-0.00035893478,0.0028457283,-0.01478818,0.009368848,0.03502419,0.007813336,-0.010157796,0.0065097357,0.006963723,0.002931411,0.00036369602,-0.014661071,0.015764458,0.0052747675,-0.004837036,-0.00966902,-0.034153596,0.023860302,0.018398851,0.00066021946,0.01667774,0.020031007,-0.03648089,0.007146597,0.032954313,-0.015420752,-0.0072257374,0.01368153,0.014976105,0.009848606,-0.013294542,0.009566266,-0.018094145,0.019694561,0.0024902427,0.010156098,-0.0015760266,0.0011660623,-0.0149160065,-0.022520322,0.013308246,0.033877265,0.012268087,0.013781013,0.009301312,0.012986887,-0.008615445,-0.012849645,-0.013797367,-0.020266665,0.01057042,0.016606411,0.022759961,0.0060850396,-0.012287978,-0.007972717,-0.0044035236,-0.0073016337,0.0118039455,-0.01274082,-0.010453061,0.01735268,-0.020084806
BENZTROPINE MESYLATE,-0.009439891,-0.023085022,0.02004669,-0.0068387133,0.008054106,0.010094554,-0.004689694,0.029081013,-0.0027537884,0.015191517,-0.017525034,-0.017514085,-0.019091062,0.03688478,0.024137923,-0.00209119,-0.016511025,-0.0085996175,0.00281406,0.004146097,-0.008504465,0.05320848,0.012073608,0.0019988357,0.016960897,0.05324918,0.022373626,0.016009528,0.008174129,0.019041272,-0.008083309,-0.017431274,0.00022955546,0.006069516,0.03827364,-0.00025329218,-0.0024658088,0.004413454,0.005084591,-0.007126637,-0.016097844,0.007644147,-0.024560496,-0.0082735475,-0.026386322,0.011999175,0.019859588,-0.023085264,0.003418796,-0.006838608,0.016572556,0.015916856,-0.004240854,0.014276233,0.014346705,0.018287268,0.005026486,-0.004707923,-0.0057456377,-0.0033963744,0.022636097,0.013086562,-0.0021468655,-0.015926205
BENZYL ALCOHOL\ETANERCEPT,-0.031020291,0.0022241042,0.0026127726,0.0128990915,-0.06287217,-0.049487147,0.010896163,0.030027412,0.018221464,0.028419426,-0.029601887,-0.020166004,0.017249037,0.0068525188,0.06182934,-0.017169347,0.024564367,0.04609767,-0.045585494,0.0061419923,0.035482936,0.033748593,-0.015672995,0.07613173,-0.022905072,-0.040172417,-0.017131504,0.015679473,-0.03683756,0.005752328,-0.02003558,0.015199872,-0.046793777,0.016048338,0.017277637,0.031428937,-0.023178108,0.036715068,-0.015636912,0.042718276,0.06232268,-0.036841135,-0.061187692,-0.026001045,-0.004333347,0.003917821,0.023457076,-0.024599269,-0.0047721923,-0.0019695698,0.034930978,0.0059117046,-0.042532932,-0.0008342237,-0.0033263857,0.028151767,-0.016012544,-0.002301558,0.011544758,0.016627623,-0.010491571,0.0015024759,-0.006218886,0.06879035
BEREMAGENE GEPERPAVEC-SVDT,0.019809738,-0.017985655,-0.017082328,0.006877859,0.013371268,-0.001706469,0.0071629738,-0.024244664,-0.021881362,-0.0035344125,0.025913423,-0.012360371,-0.019660808,0.038968626,-0.02673619,-0.003694017,-0.017790666,-0.045071814,0.00041658417,0.013926353,-0.023678234,-0.037118856,0.024785839,-0.030560218,-0.0008392808,0.0063568093,0.012727028,0.0035930197,0.0007625695,-0.0005348663,0.020964121,-0.035295643,0.023036148,-0.010107398,-0.020814834,-0.007041302,0.030129533,0.019580606,-0.008163765,-0.015413357,-0.03743853,0.00465507,-0.019901684,0.009631346,0.005209471,0.0059338524,-0.009372922,-0.0072640353,-0.0076027936,0.02381875,-0.010555464,-0.0016981245,0.0051971264,-0.029374301,0.0024309875,-0.018377058,-0.0057727555,0.030230967,-0.014937516,-0.0002690321,-0.00063924864,0.008082716,-3.0027437e-05,-0.054181404
BEROTRALSTAT HYDROCHLORIDE,0.022595521,0.026758265,0.0011155624,-0.0058890176,0.01398164,0.011342165,-0.0023665733,0.0025521812,0.022598105,-0.0059104427,0.0113785425,-0.0068150163,-0.019125337,0.0031171888,0.003933614,-0.0042948425,-0.020734219,-0.005325367,0.016096946,0.008908237,-0.007580753,0.0021406033,-0.015825236,-0.033236086,-0.014224965,0.014019071,-0.0037269692,0.012503605,7.912935e-06,-0.02424282,0.007921924,0.0239021,0.01992412,0.0046808473,-0.005690504,-0.006832321,0.0044961534,-0.008662733,0.020347599,-0.025118599,-0.020927737,-0.021563737,-0.014673116,0.020987118,0.012302757,0.0072686095,-6.4491716e-05,-0.0031680053,0.022083726,0.020635407,-0.0013531363,0.009564046,0.0051493747,0.0060530463,0.03228676,0.0029647385,-0.026033787,0.019328343,0.005998309,-0.005628607,1.3002716e-05,-0.0061378637,0.0021793356,-0.006045733
BETAINE,0.026046969,-0.005018356,0.024728103,-0.007760906,0.043910645,0.025228154,0.0051455377,0.0007813323,0.005784474,-0.025621898,0.033196066,-0.007623845,-0.007592297,0.015128001,-0.023949381,-0.019376723,-0.025469633,-0.046170074,0.020783441,0.008446417,-0.015271552,-0.024341827,-0.008623081,-0.04275707,-0.020635916,0.011664562,0.012788309,0.02759022,0.02396396,-0.0027791972,0.01563202,-0.009860078,0.036006037,0.0021055087,0.011999536,-0.009872299,0.012215484,-0.0040683094,-0.009061689,-0.028125051,-0.022525404,0.009817402,0.0029312808,0.026310131,0.015366322,0.019718802,0.0068604685,-0.012224661,0.004637193,0.019016024,-0.039775766,0.03152831,0.012786425,0.01792134,0.011073645,-0.021766588,-0.0034213183,0.0103351725,0.003973758,0.032836616,0.020804664,-0.024986409,0.020173378,-0.038865976
BETAMETHASONE,-0.012741479,-0.0039512706,-0.009686619,-0.018368648,-0.0069952393,0.0075457175,0.00095414254,0.013268066,-0.012502455,-0.0009997849,-0.019719712,0.006015281,-0.0077017113,0.011553259,0.025992552,-0.004216967,0.006329276,0.0019546952,0.0044852816,0.011848299,0.012835301,0.0034009959,0.018363563,0.019883491,-0.0022331427,-0.006095338,0.016385831,0.007444166,-0.008328904,-7.508033e-05,-0.009230907,0.0014061028,-0.013833824,0.005147868,0.0064906105,-0.0012415351,0.0010278601,0.0076580155,-0.0061222757,-0.013538443,-0.0057065682,0.0030156747,-0.021440672,0.012612248,-0.007975837,0.008238037,0.0035897004,0.00064542587,-0.0135086905,0.0030056643,-0.009109858,0.01214328,-0.009379773,-0.0009650878,0.009458092,-0.017407414,-0.011092644,0.014143421,-0.0024026048,0.013363086,0.0032755136,0.010236685,-0.0089679435,-0.020357233
BETAMETHASONE ACETATE\BETAMETHASONE SODIUM PHOSPHATE,-0.018384127,-0.01824271,-0.007782735,0.008056516,-0.04716268,-0.03284151,0.0030715098,-0.008876691,-0.0053859684,-0.0045358716,-0.010853503,-0.041335978,0.015158881,0.050924666,0.00793123,-0.021334294,0.028455365,-0.026921412,-0.011235397,0.029716222,-0.04275034,-0.00077598525,0.033910982,0.012913774,0.00842602,-0.02653382,0.010657856,0.022151066,-0.00018752992,0.024826828,0.007698119,-0.025699168,-0.027373748,0.011200182,-0.0139818415,0.0058003673,-0.010133953,0.03163637,0.0016566564,0.026781201,0.02941544,-0.0068488545,-0.071127206,0.010287882,-0.017709874,0.024172036,-0.0048094513,-0.026860544,0.005738312,-0.014174474,-0.0010546499,0.0026471,-0.011135824,-0.038488615,-0.0048141237,-0.0079386905,0.015366197,0.037993282,-0.03544341,-0.0016603343,0.008820558,0.013848492,-0.010471728,-0.025706926
BETAMETHASONE DIPROPIONATE,-0.00867273,0.019882634,-0.009922465,0.0134168295,0.013851513,0.0019881558,-0.0101096025,0.004635044,-0.020633675,-0.0173851,-0.0035863493,-0.0034102013,-0.010094504,-0.013257049,-0.030472606,-0.002833219,0.007837551,0.018402314,-0.005649004,-0.012928965,0.012669359,-0.032534994,-0.005381479,0.010748356,0.0017304466,-0.032300662,0.024116475,-0.025652494,-0.0062669725,-0.028969696,0.015742075,-0.016517613,0.011869269,-0.0119514,-0.016950414,0.024479622,-0.0044302666,-0.024608072,-0.003575934,-0.016023638,-0.014344285,0.018732693,-0.002061008,-0.030486638,0.02556148,-0.032123163,-0.008490629,0.023896797,0.008957086,0.032076173,-0.0023400155,0.0007526288,-0.010023011,-0.02048385,0.0025080875,0.0047246376,-0.00048753346,0.017167734,0.010876011,-0.013048879,-0.0049797297,0.017953942,-0.0075177285,0.004730087
BETAMETHASONE DIPROPIONATE\BETAMETHASONE SODIUM PHOSPHATE,-0.011739017,-0.028857525,-0.016466517,0.008810554,-0.019245796,-0.035170637,0.046313383,0.003313495,-0.018276906,0.000713812,0.0014082798,-0.01781893,-0.009646823,0.0040045823,0.020333258,-0.025605714,0.031906933,0.030954802,-0.02831143,0.022689754,0.013954725,-0.001671367,-0.017505169,0.04404769,-0.00014380086,-0.0047573256,-0.015653465,0.015988916,-0.021997146,0.021267692,-0.039951168,-0.023413252,-0.046892505,8.815136e-05,-0.016402382,0.0060425117,-0.006008372,0.01464079,-0.010749708,0.0365436,0.02587518,-0.022783898,-0.01090389,-0.009486614,-0.013318898,-0.0010410781,-0.0050062644,-0.01047443,-0.028052924,-0.022970315,0.010069017,-0.00074170064,0.005164095,-0.014772592,-0.045477983,-0.015714869,-0.007508874,0.0005428322,-0.01708274,-0.007838862,-0.03056042,0.031976894,0.0017992612,-0.009804556
BETAMETHASONE DIPROPIONATE\CALCIPOTRIENE,-0.020759888,0.006777147,-0.015546766,-0.013837124,0.002917078,-0.029843831,-0.021335514,-0.02365079,-0.0048802393,-0.026062762,0.023022322,-0.0036640337,0.017422434,-0.009090196,-0.027102988,0.009514811,0.011504327,-0.01930425,0.013932677,-0.0062461025,-0.02850094,-0.0523237,0.032376852,-0.03572306,0.011586677,-0.026355296,-0.0025294144,-0.014693916,0.028365927,-0.005912739,0.009976197,-0.0060023824,-0.007839638,-0.004570489,-0.03890363,-0.030976752,0.0006860285,0.0032107313,0.01252948,0.010950918,-0.010317772,0.017433552,0.0028397033,0.03587447,-0.017450351,-0.020870805,0.0187775,0.00958841,0.007896645,-0.0076586907,-0.012402721,-0.008666238,0.014123424,-0.01049746,0.008060318,-0.009362307,0.017135045,0.0072511993,-0.0043046577,0.010636267,-0.025889905,-0.008427517,-0.00084947573,-0.0009021679
BETAMETHASONE DIPROPIONATE\CALCIPOTRIENE HYDRATE,-0.019105967,-0.008957274,-0.02750905,-0.0030529294,-0.008419236,-0.008964255,-0.011527858,-0.022441285,-0.031201854,-0.012792524,0.0056774463,-0.013129183,0.010967462,0.012120061,-0.002376226,-0.014307655,0.00010271513,-0.005308884,-0.006829748,-0.01318306,-0.03662717,-0.032201126,0.0146792615,-0.009586024,0.015321118,-0.01492645,-0.009973657,0.005530144,0.022659175,-0.0028661385,-0.009934944,-0.0038103703,-0.017274935,0.006383937,-0.01094781,-0.014483573,-0.004040721,0.01075293,-0.010867684,0.029555148,0.018044138,0.0018809862,0.010392326,0.028423235,0.0006010192,0.008303067,-0.015426716,0.0155937355,-0.014729115,0.0042878995,0.0065356772,-0.014125445,0.014548185,-0.014393325,-0.0028025967,-0.01508494,0.008504707,0.012132033,-0.024943478,-0.0007068167,-0.014121377,0.0074618775,-0.01024393,-0.027040927
BETAMETHASONE DIPROPIONATE\CALCIPOTRIENE\CALCIPOTRIENE HYDRATE,0.0056049684,-0.015418163,-0.006368225,-0.011313187,-0.013292612,-0.026687223,-0.019612087,-0.019423721,-0.020343645,0.0037941209,-0.0015295015,-0.0071509574,0.004250064,0.0048047337,-0.021396236,-0.004042135,0.0170528,-0.004884781,0.010732775,-0.018665386,-0.0033846356,-0.047256816,0.010406539,0.0011029134,0.00733739,-0.015713431,0.019919394,-0.008326458,0.005553602,-0.013153975,0.007558818,-0.0021942595,-0.017776426,0.010037931,-0.04233958,-0.009723764,0.011266759,0.010262566,-0.00037861086,0.02980006,0.00028910243,0.000659691,0.009208601,-0.0036296432,-0.0066764513,0.009778038,-0.010109274,0.005978888,-0.012019972,0.012374702,0.01610612,-0.011586889,0.011102848,-0.026195895,-0.0068310574,-0.0018934285,0.024131043,0.02206161,-0.0053550303,0.007296078,-0.0063753887,0.02796048,-0.008815458,-0.022171054
BETAMETHASONE DIPROPIONATE\CLOTRIMAZOLE,-0.008983808,-0.0014235352,0.00016425831,0.00076729845,-0.014776926,0.009130081,0.009751411,-0.035070863,-0.002611034,-0.004691995,0.019233193,-0.01601312,-0.005273128,0.0024795176,0.012180136,-0.0036790278,-0.00050519593,-0.009878022,-0.012185066,0.014331111,-0.00031212022,-0.0037636077,-0.0011667088,-0.021596106,-0.005931476,0.013626357,-0.026144655,-0.017292244,0.0055728075,-0.020111756,-0.009645905,0.0084629515,0.0015391083,0.00882084,-0.0048283013,-0.019466612,-0.0075027347,0.010202391,-0.0083256,-0.0019475812,-0.0062417733,-0.01585164,0.01599488,0.031474296,-0.0036714145,-0.020744529,-0.0029003052,0.013012635,0.007729929,-0.022807859,-0.0013811238,-0.010304579,0.017751977,-0.012163273,0.017214326,-0.010908786,-0.018923517,-0.008436484,0.0069618495,0.008023078,-0.011126803,-0.021348743,0.017245874,-0.019347686
BETAMETHASONE SODIUM PHOSPHATE,-0.026894327,-0.017129455,-0.0071422798,-0.0027377275,-0.054921944,-0.04731619,-0.009129683,0.00033379567,-0.012709172,0.018548775,-0.0014167782,-0.031229522,-0.0029573143,0.04643801,0.015144656,-0.012073273,0.01213875,-0.03575853,-0.019645821,0.018274354,-0.01899678,-0.007532698,0.017720863,0.009689702,0.008716497,-0.0008271184,0.0064464174,0.020739043,0.012706256,0.022215981,-0.0034438227,-0.03715784,-0.022416707,0.007408516,0.00825148,-0.007274829,0.011201512,0.03196428,-0.016539348,0.045929756,-0.0024920453,-0.014458474,-0.039892767,0.01502285,-0.023384538,0.01858027,-0.004602431,-0.016168522,-0.030535039,0.0008646116,-0.011686417,0.002740653,-0.01290728,-0.04790183,-0.017014261,-0.011344913,-0.008778051,0.017111335,-0.015658572,-0.004468076,0.010018627,0.015580899,-0.009577392,-0.03493843
BETAMETHASONE VALERATE,-0.011910341,0.021476699,0.0005750609,-0.008635805,-0.014482138,-0.006461151,-0.0077467924,-0.016605547,-0.009694967,-0.00044470892,0.010345994,0.008078355,-0.012493468,-0.007595392,0.0037936843,0.004697562,-0.01887933,-0.008985527,-0.02120402,0.00867463,-0.007616746,-0.0026640815,-0.016460463,-0.027263058,-0.009985857,-0.0010958592,-0.023614338,0.0013036798,0.0047160136,0.024922717,0.0035650625,0.017513018,0.006913456,0.025944317,-0.0060399673,-0.0075470074,0.024358086,0.024876678,0.01864589,-0.010952464,0.0005622911,-0.020870848,-0.012515823,0.014613315,0.0151683185,0.0019776407,-7.03549e-05,-0.011799448,0.0018803687,-0.008006793,-0.0032430794,0.004601633,-0.0041925926,-0.014407966,0.028431803,-0.004325732,-0.006567464,-0.0033506842,-0.0062897983,0.016759973,0.00055465446,-0.026554402,-0.0012433359,-0.025790961
BETAMETHASONE\BETAMETHASONE DIPROPIONATE,-0.014982443,0.01670622,0.0168647,9.803059e-05,0.0042313132,0.014282861,0.014542354,0.01257989,0.0016510623,-0.0053426675,-0.009749428,-0.016338848,-0.016487237,-0.007086601,-0.0059794215,-0.01330803,-0.0035177243,-0.019801693,-0.019310601,-0.0057953284,-0.012406377,0.008570074,-0.019954318,0.013112278,-0.01061967,-0.020408645,-0.0028649883,0.025708897,-0.005010139,-0.012831028,0.0051354766,0.004879198,0.021524243,-0.012435104,0.0028271817,0.013437109,0.005990998,0.00026783813,0.0015603013,0.0064885006,0.011585264,-0.031711422,-0.014448637,-0.0007107098,0.019758597,0.009322961,0.005058176,-0.020049557,0.01580364,0.0038263623,0.0029290745,0.00497665,0.013078102,0.0001488946,-0.0022146166,0.014735536,-0.022036461,0.005087054,0.01920428,-0.01076803,0.0014572549,-0.014407082,-0.015937835,-0.008134836
BETAMETHASONE\BETAMETHASONE DIPROPIONATE\CLOTRIMAZOLE,-0.0010977429,-0.004017096,-0.014529445,-0.0031476205,-0.0015345643,-0.013589827,-0.012723109,-0.021957915,5.445907e-06,-0.00874289,0.035402544,-0.0048003327,-0.014193772,-0.0070690904,-0.019290216,-0.009737779,-0.0169484,-0.015900826,0.013418355,0.020137202,-0.03233381,-0.023996236,-0.008510648,-0.031805128,0.033257224,0.011198573,-0.030386752,-0.00363925,0.016740996,-0.008648282,-0.0025425125,-0.0069368663,0.006764111,-0.002095856,-0.02784694,-0.013669725,0.003902589,-0.0048668296,-0.00147857,-0.017590541,-0.012665999,-0.008719447,0.0077129807,0.034903493,0.000829703,-0.010416788,-0.0010620402,0.0053669647,-0.011573359,-0.015333849,-0.006628284,-0.0048383162,0.025906298,-0.010431913,-0.017740654,-0.015566128,0.006295288,-0.0007180756,-0.018088464,0.0044358564,-0.012525483,-0.0009359183,0.02138033,-0.007763783
BETAXOLOL HYDROCHLORIDE,0.0040937513,0.004132279,-0.0061540087,-0.004398275,0.008772843,-0.0039942497,0.01720372,-0.0046805954,0.00020510182,-0.005998339,0.025440797,-0.008535025,-0.017585754,-0.006645202,-0.018072816,0.014816645,-0.008676465,-0.0038570892,0.0032015608,-0.00779302,-0.026551792,0.013425143,0.0025587603,-0.03416565,0.016460393,0.02858829,-0.02294677,0.00027599066,0.014969659,0.0048599183,-0.0035125809,-0.017168777,0.013346212,0.00025373735,0.0007892559,-0.019400785,0.012780403,-0.029385105,0.0061475313,-0.022453133,-0.03134564,0.006525569,0.029221058,0.03670188,0.017035479,-0.019643988,0.009867638,0.013116714,-0.020558404,-0.011875451,-0.012117764,0.00082886557,0.04728953,-0.0051334393,0.0026126069,-0.016526544,-0.0025176005,-0.025881713,0.0073666,0.008419629,0.0013474565,-0.026662871,0.004266788,-0.024024338
BETIBEGLOGENE AUTOTEMCEL,-0.008713434,-0.011875638,-0.020927483,-0.008146746,-0.041679256,-0.01688085,0.00955886,-0.03271314,-0.02450021,-0.005423056,-0.013618031,-0.009282212,0.012212813,0.05447243,-0.00055453356,-0.015449595,-0.0076802904,-0.021551415,0.014587415,0.017346997,-0.04178476,-0.010840264,0.013222056,0.009343706,0.012121032,-0.0014056484,0.022602817,0.002231017,0.0037801245,0.023250805,0.011380961,-0.018872248,-0.035245765,0.025302552,0.0045252284,0.0012917834,-0.004981886,0.03291853,-0.015015354,0.02223217,0.013023971,-0.0065290267,-0.04656328,0.005184766,-0.0029257166,0.03695896,-0.001675241,-0.028701743,-0.008212446,0.006562538,-0.009838081,-0.010938869,0.012174758,-0.036347866,0.021881647,-0.018583508,-0.0026969144,0.026681764,-0.017916933,0.0028381662,0.01017989,0.021347595,-0.010944267,-0.045370042
BEVACIZUMAB,-0.03343527,0.00919722,0.042238235,0.0204144,-0.0092961285,0.006823044,-0.020290421,0.004925339,-0.025788913,-0.0074139135,-0.028204804,-0.009466606,-0.011201051,-0.007106277,-0.025439352,0.01600178,0.057674464,0.03648948,-0.022598676,0.0016933933,0.044636793,0.0075801974,-0.009817594,0.021587027,-0.029560627,-0.067438535,0.016285218,-0.054239623,-0.01609405,0.035600346,0.026020046,-0.030199207,-0.00022785403,-0.0193253,0.008470071,0.036655053,-0.007567965,-0.020830218,0.020546451,0.0053000418,0.03438704,-0.008208129,0.024614785,-0.04481263,0.029558135,-0.05265312,-0.039427515,-0.017327642,-0.016559133,-0.006516508,0.09265396,-0.044070136,-0.024130758,-0.03047617,-0.015421917,0.042888697,-0.03151371,-0.0010114583,0.011322398,-0.022336094,-0.008657252,0.02103375,-0.010143271,0.06750717
BEVACIZUMAB-AWWB,-0.032792103,0.017379357,-0.0041645006,0.004424949,-0.030436568,-0.014558194,0.0092195505,0.0033286784,-0.008555513,-0.0055102454,-0.010015506,-0.010834963,-0.0017365626,-0.005060881,-0.0129769435,0.004862794,0.050589833,0.011561126,-0.03853754,0.009166237,0.018115887,0.021947168,-0.011902613,-0.008163926,-0.01641717,-0.011552206,-0.033787686,0.010647597,-0.0114711765,0.0125218695,-0.0070769717,0.0062642326,-0.025533447,0.010927171,0.01910851,-0.0014559835,-0.010357122,0.012701691,-0.006955066,0.006663937,0.02013286,-0.02425492,-0.019123014,-0.022947654,0.008605075,-0.038392197,-0.003754412,-0.01071198,-0.011954248,-0.031612765,0.010694984,0.008167214,-0.001144399,0.004385817,0.008379098,0.018111372,-0.022809476,-0.022313982,-0.017318757,0.0039401064,-0.013624867,0.0034160689,0.0026348967,0.012698648
BEVACIZUMAB-BVZR,-0.025807662,0.0027995245,0.0023835804,0.0016232515,-0.0180532,-0.04381849,-0.026241202,-0.0010947607,-0.009248663,-0.013585316,-0.013740229,0.012924212,0.034254465,0.007982676,-0.027607892,-0.0066487505,0.026250435,0.010895846,0.01663382,-0.0057956334,-0.0022740487,-0.021346157,0.008389449,0.01883062,0.030579025,-0.032634184,-0.012841343,-0.029722713,-0.021156618,0.005211596,0.008254397,0.008010874,-0.013898641,-0.0003456401,-0.029436324,-0.008587762,-0.015396557,-0.00079924596,0.00467033,0.03975367,0.027671067,0.031072369,-0.014206531,0.022289768,0.0025672964,-0.011988538,-0.028938312,0.022330457,-0.02188759,-0.010935719,0.028888863,-0.01983754,-0.0064708344,-0.009043995,-0.004914906,-0.005906027,0.013207691,0.007824052,-0.026241207,0.0011520392,-0.027523007,0.029100757,-0.01127331,0.011602967
BEVACIZUMAB-MALY,-0.030403415,-0.009490359,-0.0008836789,0.00490888,-0.026240904,-0.016322339,-0.025525304,0.014729523,0.022785738,0.00945098,0.008376647,-0.0034087026,0.03054572,0.0074561113,0.007538189,-0.0010451234,-0.0030322922,-0.015869403,-0.0009657282,0.006252307,-0.033984967,0.031549368,0.027111465,0.020873062,0.0022253848,0.018418215,-0.010712233,-0.0010036501,0.011289634,0.0042628963,0.004093806,0.014587695,-0.009724493,0.00393229,0.01599093,0.0006552844,0.004740899,0.015930247,-0.002889857,0.009173075,0.0099595515,-0.0011951844,-0.02043043,0.027413495,-0.02159402,-0.0028442896,0.0014519409,-0.016208814,-0.0050800988,-0.023806512,0.012675175,-0.014666282,0.008722019,-0.0020491502,0.00022327606,-0.0045136316,-0.005358496,-0.008691657,0.004596323,-4.4263856e-05,-0.0042775697,-0.028810127,0.0023151257,-0.0010162933
BEVACIZUMAB-TNJN,-0.0153478645,-0.017488811,-0.03639422,-0.0031702425,-0.035445374,-0.044223495,-0.018664304,-0.023887383,-0.012977003,0.019148773,-0.016116748,-0.0061629144,0.01819515,0.010144459,-0.006466651,-0.01111046,0.020716853,0.01176528,-0.013302256,-0.0028450638,-0.027796779,-0.010220247,0.03531294,0.0064875227,0.0109036425,-0.015062939,-0.015588767,-0.017619204,0.017832378,0.014848513,4.443465e-05,-0.02461292,-0.02681499,0.00836733,-0.01685985,0.002864404,-0.029093795,0.04263049,-0.025787167,0.037408423,0.02595363,0.015634041,-0.028394487,0.02597589,-0.031911694,-0.019012006,0.02498811,0.014023391,-0.023718672,-0.025825575,0.006913022,0.0038846578,0.027855655,-0.017139474,-0.011764056,0.009718975,0.013805108,0.0055248016,-0.048676208,0.004692927,-0.031240609,0.010999743,-0.0061976383,-0.011321403
BEVACIZUMAB\BEVACIZUMAB-TNJN,0.0019656185,-0.014145967,-0.022685654,-0.009517509,-0.009562392,-0.004677031,-0.008143749,-0.027024208,-0.01946545,-0.015535688,0.014184808,-0.019805158,-0.018425101,0.0023518635,-0.0072609386,0.009891167,0.008739544,-0.01672482,0.0089912,0.013422529,-0.04030018,-0.012501823,0.021977408,-0.028805602,0.024634553,-0.0055501787,-0.012090942,-0.003689667,0.0027146852,0.016761193,-0.018958481,-0.016135123,0.0073652416,-0.0060984404,-0.019490495,-0.02823016,0.0074120085,0.008282079,-0.023207463,-0.0012936487,-0.018834084,-0.0031561966,0.0048706834,0.027447164,-0.007854208,-0.008057876,0.00061995274,0.015701773,-0.027473606,-0.014185296,9.8455974e-05,-0.012019405,0.029408151,-0.022740051,0.005279029,-0.016564991,0.009225089,0.005756122,-0.02947686,-0.0035645177,-0.015674073,-0.00020366156,0.006174311,-0.042639513
BEXAROTENE,-0.00060287444,0.018303562,-0.0003594025,-0.011489559,-0.0043439455,0.05382355,0.0007052566,0.008745944,0.00087711896,0.020721365,0.020288233,-0.007589297,-0.0039703595,-0.031411014,0.004528856,0.017731637,0.0072340528,0.00029557294,0.0037255327,-0.011591995,-0.0022817752,0.037518892,-0.018960215,-0.021121902,0.0056538195,0.015241488,-0.019475503,-0.01210567,0.014752964,-0.003863679,-0.01358248,0.015805248,0.027955906,-0.0034035107,0.0040272134,-0.0053451722,0.00855959,0.002783989,0.003168629,-0.022819461,-0.01571357,-0.013085352,0.03326712,-0.0069594225,-0.012765356,-0.022193825,0.004595149,0.016226768,-0.005660074,-0.016347004,0.009447531,0.020567834,0.0125972275,0.008106746,-0.0067900387,0.005764778,-0.008076062,-0.054508694,0.009084141,-0.003563041,-0.02520971,-0.033177458,0.033556286,-0.011248902
BEZLOTOXUMAB,-0.03306637,-0.0066028344,-0.01860664,-0.007749053,-0.0278049,-0.03070324,-0.00010701161,0.0014097076,-0.0129712615,-0.005381385,-0.002534925,-0.02223987,0.01913319,0.023343485,0.010261723,-0.0036709104,0.019438906,-0.014034477,0.006369604,-0.0043634404,-0.03132808,-0.031087779,0.029401558,0.0033520383,0.019146807,-0.016086038,-0.010958015,0.0042223227,0.02162872,0.029208964,-0.008653222,0.0002082378,-0.024852952,0.006104943,-0.022985106,-0.00053807197,0.004843787,0.042207338,-0.009772177,0.04496863,-0.012411332,-0.0065518036,-0.013363217,0.030748107,-0.025834933,-0.015167551,-0.0006451507,-0.0047144135,0.00017445792,-0.023313275,0.0072521786,-0.022130845,0.0015529983,-0.017210579,-0.009055169,-0.02146037,0.016922658,0.024689687,-0.021253062,0.002528097,-0.017929023,0.0036417781,0.0035508573,-0.023211394
BICALUTAMIDE,-0.005724356,0.031068122,0.008064325,-0.02177981,-0.008746251,0.042583413,-0.01115345,0.015366117,0.03587215,0.012272251,-0.031318747,0.0150558865,0.030466668,-0.027636558,0.002139359,0.030224912,-0.012852886,0.015498255,0.03995702,-0.026334502,-0.0055381325,0.03750819,0.024068112,-0.014645087,0.002466555,0.012411003,-0.020949908,-0.028660543,0.009299295,0.0006856089,-0.0032199542,0.0042672018,0.0009242296,-0.015135182,0.0126215825,0.0046184035,-0.021603294,-0.014924034,0.0011231023,-0.012855742,-0.008953874,0.039010357,0.05422399,-0.004344419,-0.023270223,-0.0045804237,0.0030685228,-0.00069557724,-0.0035830808,-0.022322252,-0.011330112,0.014416398,-0.004487189,0.037881806,0.002955716,0.008647907,0.022446563,-0.023388136,-0.014733655,-0.007473072,-0.025584698,-0.029979635,-7.882175e-05,-0.0077010132
